gx,gy,gz,ax,ay,az,wx,wy,wz,label
1.016,9.615,1.6369999999999998,-0.466,-1.913,-1.022,0.028999999999999998,-0.231,-0.5329999999999999,0.0
0.6940000000000001,9.645,1.632,-0.941,-2.208,-0.317,-0.054000000000000006,0.364,-0.095,0.0
0.84,9.625,1.683,0.642,-1.1540000000000001,-1.068,-0.14300000000000002,-0.578,0.185,0.0
0.855,9.668,1.403,1.527,1.575,-1.185,0.23199999999999998,0.16,-0.531,0.0
0.521,9.734,1.075,-0.154,4.816,-0.198,0.057999999999999996,-0.158,0.078,0.0
0.743,9.715,1.1159999999999999,-0.43799999999999994,0.8440000000000001,0.395,0.011000000000000001,-0.511,0.337,0.0
0.943,9.64,1.535,0.276,-3.139,0.795,-0.18899999999999997,0.126,-0.22899999999999998,0.0
0.6970000000000001,9.708,1.2009999999999998,-0.311,-3.011,-1.347,0.364,-0.45299999999999996,0.019,0.0
0.752,9.719,1.0659999999999998,-0.539,-0.897,-1.95,-0.021,-0.125,0.061,0.0
0.8009999999999999,9.716000000000001,1.063,-0.425,3.984,1.906,-0.11800000000000001,-0.585,0.099,0.0
1.065,9.702,0.9520000000000001,0.13699999999999998,2.9760000000000004,0.315,0.115,-0.10400000000000001,0.28,0.0
1.2690000000000001,9.698,0.716,0.774,-0.5489999999999999,-1.13,-0.375,-0.555,-0.076,0.0
1.131,9.687999999999999,1.014,-0.8079999999999999,-2.805,1.335,0.21600000000000003,0.34299999999999997,-0.32,0.0
0.943,9.713,0.973,-1.28,-1.27,-0.958,-0.451,-0.147,0.287,0.0
1.27,9.639,1.287,0.205,-0.047,-1.3559999999999999,-0.5539999999999999,-0.361,0.17800000000000002,0.0
1.2770000000000001,9.626,1.3730000000000002,0.322,1.587,1.5430000000000001,0.309,0.34600000000000003,-0.266,0.0
1.0659999999999998,9.693999999999999,1.026,0.78,2.176,0.2,0.149,-0.198,-0.026000000000000002,0.0
1.0090000000000001,9.709,0.945,-0.39399999999999996,0.5920000000000001,1.2670000000000001,0.092,0.08,-0.07400000000000001,0.0
1.022,9.658,1.359,-0.5670000000000001,-1.92,1.272,-0.068,-0.045,-0.023,0.0
0.828,9.671,1.396,0.115,-2.67,-1.636,-0.201,-0.207,-0.405,0.0
0.67,9.704,1.246,-0.644,-0.366,-0.604,0.157,0.114,-0.009000000000000001,0.0
0.6940000000000001,9.726,1.041,-0.055,1.7590000000000001,-0.115,0.095,0.41700000000000004,0.079,0.0
0.527,9.766,0.715,-0.096,3.572,-0.67,-0.09300000000000001,-0.023,0.2,0.0
0.67,9.757,0.723,0.525,0.5429999999999999,0.151,0.34299999999999997,-0.373,0.034,0.0
0.7709999999999999,9.725,0.995,-1.252,-1.87,1.885,0.01,0.294,0.063,0.0
0.818,9.712,1.081,0.233,-2.204,-1.3880000000000001,-0.228,0.149,0.067,0.0
0.6759999999999999,9.711,1.1909999999999998,-0.059000000000000004,-0.725,0.184,0.066,0.204,-0.10099999999999999,0.0
